1,27233496,,,0,C#
1,23698767,,,9,C#
1,5484340,,,0,C#
2,5494879,,5484340,1,
1,9419744,,,2,Objective-C
1,26875732,,,1,C#
1,9002525,,,2,C++
2,9003401,,9002525,4,
2,9003942,,9002525,1,
2,9005311,,9002525,0,
1,5257894,,,1,Java
1,21984912,,,0,Java
2,21985273,,21984912,0,
1,27398936,,,0,PHP
1,28903923,,,0,PHP
2,28904080,,28903923,0,
1,20990204,,,6,PHP
1,5077978,,,-2,Python
2,5078493,,5077978,4,
2,5078743,,5077978,3,
1,8031082,,,8,Objective-C
2,8031100,,8031082,6,
2,8031125,,8031082,1,
1,16551759,,,9,C++
2,16551822,,16551759,7,
2,16551829,,16551759,1,
2,16551831,,16551759,0,
2,16551845,,16551759,2,
2,16552071,,16551759,1,
1,17826681,,,0,PHP
1,8103979,,,2,JavaScript
2,17089040,,8103979,0,
1,15483637,,,1,Java
2,15484045,,15483637,1,
1,2321851,,,0,PHP
2,2322265,,2321851,1,
2,2323701,,2321851,0,
2,2323761,,2321851,0,
1,10674503,,,3,Java
1,15462957,,,0,C#
1,20866641,,,0,C#
1,24224556,,,-1,PHP
1,9112129,,,0,C#
1,25027457,,,-1,CSS
1,1460012,,,2,C#
1,27637790,,,1,JavaScript
1,6385471,,,1,C#
2,6385544,,6385471,1,
2,6385562,,6385471,0,
2,6385759,,6385471,0,
2,6387080,,6385471,1,
1,19402497,,,0,PHP
2,19403102,,19402497,1,
2,19403769,,19402497,2,
1,10409799,,,2,Java
1,21747092,,,1,PHP
2,21747234,,21747092,0,
2,21747427,,21747092,0,
1,16511433,,,3,PHP
1,3627793,,,45,Python
2,3627835,,3627793,31,
2,13848698,,3627793,2,
1,3089596,,,5,Java
2,3089617,,3089596,2,
1,18810015,,,0,PHP
2,18810083,,18810015,0,
2,18810110,,18810015,0,
2,18810147,,18810015,0,
1,25824154,,,-3,C#
1,13625022,,,10,Java
2,13632819,,13625022,0,
2,14412802,,13625022,2,
1,12590505,,,6,Python
2,12591054,,12590505,6,
2,12591072,,12590505,2,
2,12591124,,12590505,1,
2,12591286,,12590505,3,
1,13730490,,,1,Ruby
2,13730567,,13730490,5,
1,20845444,,,0,JavaScript
2,20845770,,20845444,1,
1,13050118,,,8,Java
2,13050213,,13050118,0,
2,13050222,,13050118,1,
1,13544887,,,2,Java
1,20405477,,,0,PHP
1,21838084,,,0,Python
2,21838282,,21838084,1,
1,28104641,,,1,JavaScript
1,28256639,,,0,JavaScript
1,5132263,,,2,C#
2,5132289,,5132263,0,
2,5132295,,5132263,2,
2,5132304,,5132263,5,
2,5132315,,5132263,0,
1,17524753,,,0,C#
2,17524843,,17524753,1,
1,8566694,,,0,C++
2,8566746,,8566694,2,
2,8566760,,8566694,4,
